NAMESPACE                     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system                   40m         Normal    Scheduled           pod/coredns-5bf8685f84-v2t8x                     Successfully assigned kube-system/coredns-5bf8685f84-v2t8x to zkd01.fyre.ibm.com
kube-system                   40m         Normal    SuccessfulCreate    replicaset/coredns-5bf8685f84                    Created pod: coredns-5bf8685f84-nsmbr
kube-system                   40m         Normal    Killing             pod/coredns-7d764666f9-hsmgg                     Stopping container coredns
kube-system                   40m         Normal    Scheduled           pod/coredns-5bf8685f84-nsmbr                     Successfully assigned kube-system/coredns-5bf8685f84-nsmbr to zkd01.fyre.ibm.com
kube-system                   40m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled up replica set coredns-5bf8685f84 from 1 to 2
kube-system                   40m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled down replica set coredns-7d764666f9 from 2 to 1
kube-system                   40m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled up replica set coredns-5bf8685f84 from 0 to 1
kube-system                   40m         Normal    SuccessfulCreate    replicaset/coredns-5bf8685f84                    Created pod: coredns-5bf8685f84-v2t8x
kube-system                   40m         Normal    SuccessfulDelete    replicaset/coredns-7d764666f9                    Deleted pod: coredns-7d764666f9-hsmgg
kube-system                   40m         Normal    SuccessfulDelete    replicaset/coredns-7d764666f9                    Deleted pod: coredns-7d764666f9-gj2fg
kube-system                   40m         Normal    ScalingReplicaSet   deployment/coredns                               Scaled down replica set coredns-7d764666f9 from 1 to 0
kube-system                   40m         Normal    Killing             pod/coredns-7d764666f9-gj2fg                     Stopping container coredns
s390x-validate                11m         Normal    Scheduled           pod/client                                       Successfully assigned s390x-validate/client to zkd01.fyre.ibm.com
s390x-validate                11m         Normal    Scheduled           pod/server                                       Successfully assigned s390x-validate/server to zkd01.fyre.ibm.com
s390x-validate                11m         Normal    Created             pod/client                                       Container created
s390x-validate                11m         Normal    Pulled              pod/client                                       Container image "registry.k8s.io/e2e-test-images/agnhost:2.53" already present on machine and can be accessed by the pod
s390x-validate                11m         Normal    Started             pod/client                                       Container started
s390x-validate                11m         Normal    Pulled              pod/server                                       Container image "registry.k8s.io/e2e-test-images/agnhost:2.53" already present on machine and can be accessed by the pod
s390x-validate                11m         Normal    Created             pod/server                                       Container created
s390x-validate                11m         Normal    Started             pod/server                                       Container started
kube-system                   10m         Warning   DNSConfigForming    pod/cilium-4s2k4                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   8m31s       Warning   DNSConfigForming    pod/coredns-5bf8685f84-v2t8x                     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system                   8m21s       Normal    SuccessfulDelete    daemonset/cilium                                 Deleted pod: cilium-4s2k4
kube-system                   8m21s       Normal    Killing             pod/cilium-4s2k4                                 Stopping container cilium-agent
kube-system                   8m20s       Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system                   8m20s       Normal    SuccessfulCreate    daemonset/cilium                                 Created pod: cilium-sgjp4
