NAMESPACE     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system   17m         Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system   17m         Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system   17m         Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system   17m         Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system   17m         Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system   17m         Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system   17m         Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system   17m         Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system   17m         Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system   17m         Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system   16m         Normal    Created             pod/cilium-sgjp4                                 Container created
kube-system   16m         Normal    Pulled              pod/cilium-sgjp4                                 Container image "docker.io/cilium/cilium-dev:1233512912-nogit-wip" already present on machine and can be accessed by the pod
kube-system   16m         Normal    Started             pod/cilium-sgjp4                                 Container started
kube-system   16m         Warning   Unhealthy           pod/coredns-5bf8685f84-v2t8x                     Readiness probe failed: Get "http://10.244.0.163:8181/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   14m         Warning   Unhealthy           pod/coredns-5bf8685f84-nsmbr                     Liveness probe failed: Get "http://10.244.0.56:8080/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   14m         Warning   Unhealthy           pod/coredns-5bf8685f84-v2t8x                     Liveness probe failed: Get "http://10.244.0.163:8080/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system   10m         Warning   DNSConfigForming    pod/cilium-sgjp4                                 Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 9.30.99.253 9.30.6.100 10.11.48.21
kube-system   10m         Normal    Killing             pod/coredns-5bf8685f84-nsmbr                     Container coredns failed liveness probe, will be restarted
kube-system   10m         Normal    Killing             pod/coredns-5bf8685f84-v2t8x                     Container coredns failed liveness probe, will be restarted
kube-system   10m         Normal    Created             pod/coredns-5bf8685f84-nsmbr                     Container created
kube-system   10m         Normal    Pulled              pod/coredns-5bf8685f84-nsmbr                     Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Started             pod/coredns-5bf8685f84-v2t8x                     Container started
kube-system   10m         Normal    Created             pod/coredns-5bf8685f84-v2t8x                     Container created
kube-system   10m         Normal    Pulled              pod/coredns-5bf8685f84-v2t8x                     Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Started             pod/coredns-5bf8685f84-nsmbr                     Container started
kube-system   10m         Normal    Killing             pod/cilium-sgjp4                                 Stopping container cilium-agent
kube-system   10m         Normal    SuccessfulDelete    daemonset/cilium                                 Deleted pod: cilium-sgjp4
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Scheduled           pod/cilium-qcpq4                                 Successfully assigned kube-system/cilium-qcpq4 to zkd01.fyre.ibm.com
kube-system   10m         Normal    SuccessfulCreate    daemonset/cilium                                 Created pod: cilium-qcpq4
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system   10m         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system   10m         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system   10m         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
